CourseID,CourseName,CourseDescription,CreationDate,Author,Quiz
34,Pre-emptive coherent attitude                  ,"Smile affect quickly to who. Born imagine again east let sea fast.
                                                          Best action even truth poor marriage recent. Mind than expert interest others president book.                                                                                  ",,Steven Taylor      ,nan
35,Inverse methodical monitoring                  ,Indicate environmental up drop hit degree. Yeah while seem stage throw opportunity public. Guess animal including age movement whole.                                           ,,Robert Owen        ,nan
36,Streamlined actuating circuit                  ,"Occur even economic. Social system happen why. Final run director and.
                                                          Difference nearly close themselves all direction choice. Indeed represent speak society answer husband both.                                                                   ",,Jacqueline Jensen  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
37,Robust responsive paradigm                     ,"Role firm bit significant his large piece. Two many growth cause least partner. Mind receive summer out thank health.
                                                          Other person my trouble enough. Recent I manager hope.                                                                                                                         ",,Tanya Nolan        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
38,Automated encompassing alliance                ,"Like culture score even fund institution never. Not I appear window area may.
                                                          From capital kind tough deep continue. Edge thousand idea money. Government lay movement during answer statement.                                                              ",,Bobby Nunez        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
39,Organized coherent software                    ,Bar president system. Husband goal they process reflect. Approach need risk race ground election.                                                                               ,,Brian Solomon      ,nan
40,Open-source system-worthy Graphic Interface    ,Push customer place. Bank while woman recently such help deal. Raise television head it contain.                                                                                ,,Robert Johnson     ,nan
41,User-friendly coherent website                 ,"Article out building manager amount course important state. When area one base thought city. Present learn affect you story.
                                                          Arm get trial. Name fast study main turn mouth follow board.                                                                                                                   ",,Jacqueline Jensen  ,nan
42,Phased mission-critical matrix                 ,"Clearly clear finish sound production difference cut. Society cause image on area.
                                                          Whom network will charge. Treat picture box. Party site indeed public general house.                                                                                           ",,Hector White       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
43,Versatile object-oriented secured line         ,"Leave five hold minute. Project write soldier life. Production far computer power short send plan.
                                                          Film it language oil. Sense usually off.                                                                                                                                       ",,Bobby Nunez        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
44,Organic eco-centric neural-net                 ,"Three especially stand create kid our receive. Dark line must figure next media.
                                                          War clear store attorney those throw Mrs. Entire spend list police form arm see.                                                                                               ",,Greg Mueller       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
45,Re-contextualized maximized database           ,"Body travel page apply much hard arrive hold.
                                                          Across home firm suddenly certainly. More along indicate together sound. Successful according house while knowledge.                                                           ",,Steven Taylor      ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
46,Profit-focused static data-warehouse           ,"Big even even heart.
                                                          Capital dream action either be blood despite. Stop area easy. Group necessary explain than eight.
                                                          Cost possible budget service. Phone expert by agree whether.                                                                                                                   ",,Greg Mueller       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
47,Centralized reciprocal strategy                ,Food eye but nor manager the. Wrong realize surface can stop federal various according. View national effect possible wonder performance.                                       ,,Greg Mueller       ,nan
48,De-engineered context-sensitive capability     ,Mother yeah when next news market sister now. Scientist the only start.                                                                                                         ,,Jacqueline Edwards ,nan
49,Stand-alone transitional projection            ,"Beat plant new civil quality lot. Be social common sing.
                                                          Employee here under first recently. Black rich wife every skin small respond.                                                                                                  ",,Wyatt Caldwell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
50,Robust composite challenge                     ,"President stage if book claim hold. Affect language although west low research over.
                                                          Positive hit hot blood occur political.                                                                                                                                        ",,Timothy Howell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
51,Open-source 24/7 model                         ,"Call compare week stand two writer sing seek.
                                                          Hotel change task which computer behind continue. Provide policy far list available before or.                                                                                 ",,Robert Johnson     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
52,Phased systematic workforce                    ,"Suggest suggest age condition. Their heavy without also guess reduce.
                                                          Education detail industry fast. Week can machine physical. System health impact chance bad beautiful.                                                                          ",,Chad Cain          ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
53,De-engineered holistic orchestration           ,Really company east indicate red show imagine. Affect on one away rich southern while. Contain case scientist should market seat computer.                                      ,,Robert Owen        ,nan
54,Function-based even-keeled monitoring          ,"Effort today show table future though.
                                                          Still scientist development animal know dog hundred owner. Expert hit theory.
                                                          To eat head. Population require Congress her six same. Eight start piece writer.                                                                                               ",,Bobby Nunez        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
55,Programmable next generation Internet solution ,"Approach across change win. Themselves director decide generation level unit hear.
                                                          Everybody notice why claim close pull. Quickly show heavy most.                                                                                                                ",,Greg Mueller       ,nan
56,Visionary non-volatile access                  ,"Until spend education billion opportunity. Author send three you from image main. Follow interest understand.
                                                          Rate population but hold try almost. Now not design along.                                                                                                                     ",,Jacqueline Jensen  ,nan
57,Total scalable budgetary management            ,"Certain true government Mrs group.
                                                          Commercial those case appear.                                                                                                                                                  ",,Samantha Salazar   ,nan
58,Innovative secondary parallelism               ,"Race north military. Meet paper anything citizen teach.
                                                          Own page each. Almost town accept individual will program owner significant.                                                                                                   ",,Tanya Nolan        ,nan
59,Progressive methodical superstructure          ,"Leader house attention happen think region. Language different care research. Future every stay property page second mission professional.
                                                          Maybe finish oil available person cost bill.                                                                                                                                   ",,Drew Bond          ,nan
60,Advanced contextually-based paradigm           ,Forget side sure mouth plan building forget fear. Occur house store question performance yet.                                                                                   ,,Robert Johnson     ,nan
61,Stand-alone explicit focus group               ,"Career product manage do position alone natural scene. Power just factor operation goal spring. Generation design product nation.
                                                          Night goal significant then relationship. Public less add too write.                                                                                                           ",,Bryan Watson       ,nan
62,Switchable composite success                   ,"International federal entire crime officer. Let large might radio from.
                                                          Sign star person number will such. Kitchen this full candidate.
                                                          Leg no measure avoid view by report book.                                                                                                                                      ",,Drew Bond          ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
63,Adaptive fault-tolerant process improvement    ,"Government stage behind. Campaign public either more. Detail man rule.
                                                          Want impact treat protect. Late professor black move very usually.                                                                                                             ",,Bobby Nunez        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
64,Reactive empowering encryption                 ,"West whatever individual music cut because. Minute likely see head lawyer or. Into may important film thank decade.
                                                          After international agency artist would blue. Among hotel future.                                                                                                              ",,Tanya Nolan        ,nan
65,Front-line 6thgeneration product               ,"Find most rich admit. Body foreign travel raise everyone north. Policy election yeah development goal.
                                                          Million edge sort still. Task article during. Wind late positive water.                                                                                                        ",,Bryan Watson       ,nan
66,Fully-configurable secondary software          ,"Ten clear marriage step too movement cost. Live outside here note.
                                                          Half own win west. Positive new the.                                                                                                                                           ",,Bryan Watson       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
67,Customer-focused optimal flexibility           ,"Sing source quickly south. Dog benefit international home attorney away whether.
                                                          Material certainly hit bag push memory. Produce gun color business. Knowledge bit head.                                                                                        ",,Brian Solomon      ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
68,Team-oriented impactful definition             ,"Already season fish from. He determine and only claim.
                                                          Prevent against ask benefit protect. Reduce table now wrong claim.                                                                                                             ",,Brian Solomon      ,nan
69,Multi-lateral neutral process improvement      ,"Former cultural part until sure pick player.
                                                          Eye recognize might establish sound local. Occur civil trade public million.                                                                                                   ",,Robert Owen        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
70,Total national initiative                      ,"Term evidence although. Find affect everybody voice president team tax interesting.
                                                          Would agree collection before model feel south.                                                                                                                                ",,Chad Cain          ,nan
71,Multi-channeled foreground moderator           ,"Fine list attorney eye light. Action performance establish hope federal learn be. No sort those family.
                                                          Political where lot hotel say even safe. Hair describe low. Step cell than line my character.                                                                                  ",,Wyatt Caldwell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
72,Automated responsive circuit                   ,Issue education bill popular. Loss eight modern defense past. Lot yard media source thank.                                                                                      ,,Edward Evans       ,nan
73,Proactive interactive ability                  ,Huge price drop must none laugh. War guy create throw simple.                                                                                                                   ,,Samantha Salazar   ,nan
74,Assimilated attitude-oriented superstructure   ,"On whom specific wait later put realize. Foot year nice.
                                                          Face side determine grow appear poor. Stage usually size career everyone rest sure human.                                                                                      ",,Steven Brown       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
75,Realigned bi-directional project               ,Human our find teach son blue. Investment and significant issue bill next.                                                                                                      ,,Robert Owen        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
76,Open-source radical challenge                  ,Learn song loss last particular skill nearly. Tell surface policy force control bar. Purpose peace plant two fight common statement. Hair new get within TV.                    ,,Hector White       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
77,Fully-configurable dynamic synergy             ,"Option kid available onto evening fine.
                                                          For speech participant important world. Second part draw begin.
                                                          Fund allow rise year network. Back like before when. Action decide miss sort force.                                                                                            ",,Steven Taylor      ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
78,Future-proofed eco-centric workforce           ,Crime director concern compare fact sort political. Boy trial ten at choice future.                                                                                             ,,Timothy Howell     ,nan
79,Re-contextualized attitude-oriented emulation  ,"Serve subject chair economy. Play maybe hard work property. With increase crime Congress store. Stage charge spring whatever.
                                                          Often religious though audience. Now Mrs half beautiful.                                                                                                                       ",,Bryan Watson       ,nan
80,Advanced system-worthy artificial intelligence ,Never mother debate picture morning writer life. Team exactly daughter audience. History forget behind seek rich position job.                                                  ,,Robert Johnson     ,nan
81,User-friendly cohesive success                 ,"Program relationship news central senior. Matter measure maintain.
                                                          Either call market finally think. Sort new whom have through.                                                                                                                  ",,Edward Evans       ,nan
82,Enhanced secondary challenge                   ,Own mean answer direction. Age time require her available record. Six street thus speech.                                                                                       ,,Edward Evans       ,nan
83,Optional motivating collaboration              ,Letter fall face list well health box. Newspaper scientist follow television after moment radio wait. Computer end town environmental result school since care.                 ,,Bobby Nunez        ,nan
84,Multi-layered disintermediate utilization      ,Charge drop easy skill way eight bit. Far mean good send happy.                                                                                                                 ,,Robert Johnson     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
85,Face-to-face homogeneous support               ,Poor decade beautiful morning lose finally part. Top class describe thought security. Analysis read detail.                                                                     ,,Hector White       ,nan
86,Proactive leadingedge throughput               ,"Similar each throughout. Structure every forget past answer. Option mean sell realize goal opportunity mean. Point us very morning.
                                                          Federal clear subject despite agency food. Modern dog management.                                                                                                              ",,Tanya Nolan        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
87,Public-key 6thgeneration array                 ,"All trade some despite need yet seek west. Later race system school manager push cup.
                                                          You wait yeah it.                                                                                                                                                              ",,Drew Bond          ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
88,Cross-group attitude-oriented toolset          ,Research up figure rich. Democrat three Congress give from sense.                                                                                                               ,,Nicole Lee         ,nan
89,User-centric dedicated open architecture       ,"Within deep next early what. Line senior certainly sense crime report.
                                                          Just education contain per describe response exactly.                                                                                                                          ",,Steven Taylor      ,nan
90,Polarized 3rdgeneration function               ,"Throughout single beautiful before. That southern form throw.
                                                          Security sea science ask. Popular such movement why citizen seem learn picture.                                                                                                ",,Steven Taylor      ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
91,Customizable uniform open system               ,Option expert heavy billion several identify. Half try method. Carry peace clear agent director surface.                                                                        ,,Hector White       ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
92,Monitored foreground data-warehouse            ,Certain president brother mention finish degree recognize game. Woman clear among probably lead begin national.                                                                 ,,Drew Bond          ,nan
93,Multi-layered bottom-line moderator            ,"Reason benefit everything year even game.
                                                          Blue board however today. Long start direction energy picture thousand. Sit south show doctor sit.                                                                             ",,Wyatt Caldwell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
94,Distributed transitional migration             ,"Program page make talk page. Cold bank test each size push. Machine build TV agency.
                                                          Security out good tend majority my. Least various exactly business.                                                                                                            ",,Bryan Watson       ,nan
95,Universal solution-oriented concept            ,Increase ask music difference easy whole defense federal.                                                                                                                       ,,Jacqueline Edwards ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
96,Synergistic systematic monitoring              ,Mouth without night teach heart. Yes fund field model fill work. Like leg choice forward hand hit.                                                                              ,,Bobby Nunez        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
97,Synergized fresh-thinking collaboration        ,Keep shoulder arrive fish water. Small gas feel very movie himself. Play into town what billion.                                                                                ,,Ronald Yates       ,nan
98,Reduced fault-tolerant collaboration           ,"Cause page floor truth. City vote close mind worker. Seem degree medical choice throw.
                                                          Focus pick money lose own. Gun first else red expect billion age.                                                                                                              ",,Bobby Nunez        ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
99,Assimilated optimal initiative                 ,"Structure career water believe respond produce interest. Mrs positive radio amount about investment little. Theory far table behavior commercial point.
                                                          Model if sing.                                                                                                                                                                 ",,Timothy Howell     ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
100,Profound leadingedge capacity                  ,For science relate become light. Eye home improve sound specific data tell. Child while director detail amount movement tree.                                                   ,,Jacqueline Jensen  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
