DiscussionCount ,AverageRating ,FeedbackCount ,TotalCourseCount ,AverageQuizScore ,TotalTimeSpent ,EngagementLevelScore ,EngagementLevel
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.97 ,         1.13 ,         5.92 ,               1 ,               3 ,            48 ,  7.410500000000001  ,              0
           1.99 ,         1.28 ,         3.35 ,               1 ,               7 ,           141 , 17.438000000000002  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.61 ,         1.3  ,         7.2  ,               1 ,               8 ,           123 , 16.587000000000003  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          10.73 ,         3.22 ,        37.13 ,               2 ,              60 ,           119 , 37.677              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          12.75 ,         3.59 ,        35.02 ,               2 ,              52 ,            75 , 31.3515             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.47 ,         1.76 ,         4.63 ,               1 ,              12 ,            67 , 11.56               ,              0
          11.32 ,         3.31 ,        36.24 ,               2 ,              41 ,           146 , 35.5895             ,              0
           1.01 ,         0.04 ,         7.19 ,               1 ,               4 ,           231 , 25.950000000000003  ,              0
           2.71 ,         0.53 ,         9.13 ,               1 ,              13 ,           125 , 18.4505             ,              0
          13.31 ,         3.94 ,        37.92 ,               2 ,              50 ,           256 , 49.731              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          12.21 ,         3.59 ,        38.3  ,               2 ,              48 ,           155 , 38.8995             ,              0
          13.45 ,         3.38 ,        32.05 ,               2 ,              60 ,            75 , 32.845              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.65 ,         0.94 ,         9.47 ,               1 ,              12 ,            95 , 14.959              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          13.32 ,         3.63 ,        35.19 ,               3 ,              43 ,           127 , 34.6595             ,              0
           2.07 ,         0.45 ,         9.72 ,               1 ,               4 ,           211 , 24.7705             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.64 ,         1.35 ,         7.41 ,               1 ,               4 ,           155 , 18.6475             ,              0
          18.36 ,         4.98 ,        59.48 ,               4 ,              83 ,            93 , 47.663              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.27 ,         1.24 ,         5.73 ,               1 ,              11 ,            38 ,  8.66               ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          11.95 ,         3.83 ,        32.68 ,               2 ,              53 ,           116 , 35.133500000000005  ,              0
          12.13 ,         3.5  ,        37.63 ,               2 ,              56 ,            73 , 32.527              ,              0
          11.56 ,         3.29 ,        37.53 ,               3 ,              43 ,           267 , 48.6905             ,              0
          12.87 ,         3.46 ,        36.8  ,               2 ,              46 ,           258 , 48.499              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          11.26 ,         3.46 ,        32.48 ,               2 ,              51 ,           156 , 38.363              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.75 ,         0.3  ,         8.47 ,               1 ,              14 ,            30 ,  8.619              ,              0
           0.78 ,         1.3  ,         5.5  ,               1 ,              19 ,           161 , 22.631              ,              0
           1.11 ,         1.74 ,         2.66 ,               1 ,               3 ,           136 , 15.739              ,              0
          11.08 ,         3.41 ,        34.97 ,               3 ,              60 ,           149 , 40.5625             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.4  ,         0.44 ,         2.34 ,               1 ,              15 ,           293 , 33.908              ,              0
           0.9  ,         0.31 ,         7.5  ,               1 ,              10 ,           260 , 30.4575             ,              0
          10.65 ,         3.86 ,        36.11 ,               3 ,              48 ,           245 , 47.417              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          11.26 ,         3.89 ,        39.77 ,               2 ,              55 ,            23 , 27.628500000000003  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          13.69 ,         3.34 ,        37.94 ,               3 ,              46 ,           256 , 48.861              ,              0
           1.33 ,         0.2  ,         8.84 ,               1 ,              17 ,           119 , 18.434              ,              0
           0.8  ,         1.55 ,         5.13 ,               1 ,              13 ,            55 , 10.5235             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.6  ,         1.8  ,         5.04 ,               1 ,               2 ,            84 , 10.878              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.82 ,         0.49 ,         7.55 ,               1 ,               0 ,            54 ,  7.7965             ,              0
           2.79 ,         1.04 ,         7.19 ,               1 ,              18 ,           261 , 33.056000000000004  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          14.68 ,         3.3  ,        33.09 ,               3 ,              58 ,            54 , 30.879              ,              0
           0.27 ,         0.91 ,         9.17 ,               1 ,              17 ,           267 , 33.2655             ,              0
           0.01 ,         0.22 ,         9.31 ,               1 ,              13 ,            39 ,  9.269              ,              0
           1.83 ,         1.59 ,         9.04 ,               1 ,              14 ,            69 , 13.1715             ,              0
          14.58 ,         3.65 ,        33.36 ,               2 ,              52 ,           148 , 38.700500000000005  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.25 ,         0.86 ,         7.42 ,               1 ,               1 ,           144 , 16.999000000000002  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.61 ,         1.21 ,         1.5  ,               1 ,               8 ,           214 , 24.524500000000003  ,              0
           1.93 ,         1.62 ,         8.5  ,               1 ,              13 ,           209 , 26.841              ,              0
           0.54 ,         1.97 ,         4.1  ,               1 ,               2 ,           318 , 33.920500000000004  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          14.93 ,         3.37 ,        30.78 ,               2 ,              51 ,            60 , 29.134500000000003  ,              0
           1.73 ,         1.06 ,         3.39 ,               1 ,              14 ,           144 , 19.389              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          14.27 ,         3.36 ,        30.34 ,               2 ,              46 ,           232 , 44.862              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          14.96 ,         3.34 ,        31.58 ,               2 ,              48 ,           236 , 46.143              ,              0
          14.21 ,         3.58 ,        34.91 ,               3 ,              59 ,           151 , 41.169              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.65 ,         0.06 ,         8.39 ,               1 ,              14 ,           167 , 22.223              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.73 ,         0.21 ,         2.71 ,               1 ,              17 ,           208 , 25.9905             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.77 ,         0.52 ,         5.34 ,               1 ,               7 ,            30 ,  6.302              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.17 ,         1.83 ,         3.09 ,               1 ,              19 ,            29 ,  8.9595             ,              0
           1.37 ,         0.23 ,         5.05 ,               1 ,               3 ,           108 , 13.0915             ,              0
           2.72 ,         0.02 ,         3.77 ,               1 ,               2 ,           161 , 18.103              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.42 ,         1.31 ,         2.1  ,               1 ,              14 ,           293 , 34.0315             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.32 ,         1.71 ,         8.65 ,               1 ,              13 ,           183 , 24.1715             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.61 ,         0.45 ,         5.8  ,               1 ,               4 ,           248 , 27.7945             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.66 ,         0.72 ,         4.23 ,               1 ,              12 ,           176 , 21.958              ,              0
          11.9  ,         3.58 ,        39.8  ,               2 ,              59 ,           157 , 42.085              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.62 ,         0.26 ,         8.49 ,               1 ,              10 ,            18 ,  6.387              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.14 ,         0.19 ,         6.13 ,               1 ,               1 ,            90 , 10.7515             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          12.65 ,         3.8  ,        33.98 ,               3 ,              54 ,           223 , 46.676              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.68 ,         1.38 ,         6.24 ,               1 ,              16 ,           262 , 32.529              ,              0
          11.26 ,         3.19 ,        34.46 ,               2 ,              46 ,            46 , 26.441500000000005  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.11 ,         0.59 ,         4.05 ,               1 ,               2 ,           127 , 14.3795             ,              0
          14.01 ,         3.41 ,        35.56 ,               2 ,              54 ,            33 , 27.9665             ,              0
           2.6  ,         0.07 ,         9.71 ,               1 ,              10 ,           171 , 22.2795             ,              0
           2.72 ,         0.17 ,         6.21 ,               1 ,              16 ,           142 , 20.2285             ,              0
          11.55 ,         3.97 ,        35.12 ,               3 ,              54 ,            95 , 33.9265             ,              0
           2.31 ,         0.76 ,         7.45 ,               1 ,              11 ,           219 , 26.992000000000004  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.57 ,         0.22 ,         4.92 ,               1 ,              13 ,            18 ,  6.603              ,              0
           1.47 ,         1.68 ,         6.33 ,               1 ,              13 ,            14 ,  6.83               ,              0
          11.25 ,         3.63 ,        35.77 ,               2 ,              45 ,           199 , 41.86150000000001   ,              0
          11.34 ,         3.34 ,        39.38 ,               2 ,              59 ,            31 , 29.229000000000003  ,              0
           1.87 ,         0.2  ,         3.14 ,               1 ,               1 ,            80 ,  9.502              ,              0
          12.8  ,         3.77 ,        38.02 ,               3 ,              52 ,            19 , 26.6065             ,              0
           0.11 ,         1.85 ,         1.12 ,               1 ,               4 ,           209 , 22.8085             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.65 ,         1.43 ,         1.67 ,               1 ,               0 ,            93 , 10.5215             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.67 ,         1.58 ,         3.3  ,               1 ,              13 ,            90 , 13.839              ,              0
           1.27 ,         0.58 ,         6.83 ,               1 ,              11 ,           260 , 30.715              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          11.8  ,         3.51 ,        35.78 ,               2 ,              52 ,            96 , 33.3935             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.29 ,         1.95 ,         4.5  ,               1 ,              14 ,           277 , 33.045500000000004  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.52 ,         1.06 ,         4.71 ,               1 ,              13 ,           285 , 33.261              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.23 ,         0.21 ,         4.03 ,               1 ,               9 ,            68 , 10.1545             ,              0
           2.06 ,         1.21 ,         7.89 ,               1 ,              10 ,            97 , 14.6925             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.82 ,         1.45 ,         3.57 ,               1 ,              13 ,           197 , 24.390500000000003  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           2.48 ,         0.13 ,         9.03 ,               1 ,               5 ,           139 , 17.6845             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.89 ,         1.26 ,         5.79 ,               1 ,              14 ,            15 ,  7.051              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.19 ,         1.24 ,         7.7  ,               1 ,               3 ,           108 , 13.838              ,              0
           0.69 ,         0.78 ,         7.8  ,               1 ,               1 ,           307 , 33.043000000000006  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          10.97 ,         3.46 ,        38.13 ,               2 ,              60 ,            72 , 33.285000000000004  ,              0
           0.0  ,         1.09 ,         5.85 ,               1 ,               4 ,           250 , 27.6425             ,              0
          14.47 ,         3.72 ,        37.94 ,               2 ,              55 ,           184 , 43.962              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.48 ,         1.62 ,         5.4  ,               1 ,               1 ,            18 ,  3.831              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.08 ,         1.42 ,         1.08 ,               1 ,              14 ,           123 , 16.587              ,              0
           2.23 ,         0.34 ,         4.45 ,               1 ,              18 ,           134 , 19.521              ,              0
           2.31 ,         0.1  ,         3.45 ,               1 ,               4 ,            53 ,  7.677              ,              0
          14.88 ,         3.44 ,        35.84 ,               2 ,              54 ,            64 , 31.304              ,              0
          10.7  ,         3.16 ,        31.3  ,               2 ,              42 ,           131 , 33.190000000000005  ,              0
           1.68 ,         0.94 ,         3.77 ,               1 ,              11 ,            14 ,  5.675000000000001  ,              0
          11.42 ,         3.25 ,        31.44 ,               2 ,              50 ,            72 , 29.4845             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          12.5  ,         3.23 ,        34.24 ,               2 ,              47 ,           236 , 45.9055             ,              0
           0.06 ,         0.2  ,         9.64 ,               1 ,              19 ,           311 , 38.04               ,              0
           0.44 ,         0.48 ,         6.06 ,               1 ,               9 ,           107 , 14.57               ,              0
           2.33 ,         1.11 ,         4.79 ,               1 ,               8 ,           205 , 24.4015             ,              0
          14.75 ,         3.42 ,        31.01 ,               2 ,              50 ,            46 , 27.507000000000005  ,              0
          14.53 ,         3.28 ,        32.04 ,               2 ,              44 ,           118 , 33.334              ,              0
           0.24 ,         1.2  ,         7.74 ,               1 ,               1 ,           133 , 15.646              ,              0
          12.61 ,         3.77 ,        35.31 ,               2 ,              57 ,           101 , 35.276500000000006  ,              0
           2.21 ,         1.09 ,         3.65 ,               1 ,               6 ,           179 , 21.044500000000003  ,              0
           0.03 ,         1.73 ,         6.89 ,               1 ,               4 ,           158 , 18.8165             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.71 ,         1.93 ,         4.98 ,               1 ,               2 ,           142 , 16.7205             ,              0
           1.4  ,         0.73 ,         6.5  ,               1 ,               6 ,           144 , 17.8625             ,              0
          11.6  ,         3.25 ,        33.58 ,               2 ,              43 ,            38 , 24.7985             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          11.8  ,         3.84 ,        39.52 ,               3 ,              52 ,            97 , 34.524              ,              0
          12.52 ,         3.46 ,        36.48 ,               2 ,              57 ,           154 , 40.715              ,              0
           0.12 ,         1.71 ,         5.42 ,               1 ,               5 ,           288 , 31.7855             ,              0
           1.99 ,         1.8  ,         2.61 ,               1 ,               1 ,            53 ,  7.120000000000001  ,              0
          10.73 ,         3.89 ,        36.77 ,               3 ,              60 ,            80 , 34.072500000000005  ,              0
           1.87 ,         0.22 ,         1.45 ,               1 ,               8 ,           127 , 15.619000000000002  ,              0
           0.21 ,         1.52 ,         6.51 ,               1 ,               6 ,           164 , 19.824              ,              0
           2.18 ,         0.16 ,         4.72 ,               1 ,               6 ,           312 , 34.32               ,              0
           2.37 ,         0.79 ,         4.1  ,               1 ,               6 ,            13 ,  4.491499999999999  ,              0
           0.8  ,         0.0  ,         2.38 ,               1 ,              10 ,           307 , 34.036              ,              0
          14.37 ,         3.51 ,        38.73 ,               2 ,              43 ,           121 , 34.7475             ,              0
          14.47 ,         3.84 ,        31.36 ,               2 ,              51 ,           137 , 36.976000000000006  ,              0
          10.01 ,         3.94 ,        33.99 ,               2 ,              59 ,           123 , 37.235              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          18.7  ,         4.23 ,        40.16 ,               5 ,              69 ,           113 , 42.3795             ,              0
           0.04 ,         0.89 ,         3.79 ,               1 ,               8 ,           184 , 21.588500000000003  ,              0
          14.56 ,         3.66 ,        35.14 ,               3 ,              53 ,            19 , 26.605              ,              0
          11.04 ,         3.86 ,        39.35 ,               2 ,              43 ,           261 , 48.293000000000006  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.98 ,         1.84 ,         3.45 ,               1 ,               5 ,            52 ,  8.196000000000002  ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
          13.64 ,         3.98 ,        36.02 ,               2 ,              48 ,           174 , 40.727              ,              0
           2.91 ,         1.77 ,         1.89 ,               1 ,               2 ,           221 , 24.2025             ,              0
          10.5  ,         3.96 ,        30.95 ,               2 ,              47 ,           160 , 37.43               ,              0
           1.71 ,         0.72 ,         9.4  ,               1 ,               2 ,            87 , 11.802              ,              0
          10.61 ,         3.82 ,        31.08 ,               2 ,              60 ,           211 , 45.793              ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           1.84 ,         0.87 ,         6.81 ,               1 ,               0 ,           192 , 21.347500000000004  ,              0
          10.37 ,         3.68 ,        36.19 ,               2 ,              50 ,            70 , 30.132              ,              0
          12.97 ,         3.74 ,        30.08 ,               2 ,              50 ,           173 , 39.745000000000005  ,              0
           2.48 ,         0.29 ,         3.28 ,               1 ,              17 ,            59 , 11.5745             ,              0
           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,              0
           0.13 ,         1.62 ,         4.26 ,               1 ,              11 ,           231 , 27.333              ,              0
