EmployeeID ,Department          ,DiscussionCount ,AverageRating ,FeedbackCount ,TotalCourseCount ,AverageQuizScore ,TotalTimeSpent ,EngagementLevelScore ,EngagementLevel
        18 ,Operations          ,           1.29 ,         0.24 ,         1.37 ,               1 ,              11 ,            42 ,  7.742              ,Low
        19 ,Legal               ,           1.47 ,         1.26 ,         3.64 ,               1 ,              17 ,           109 , 16.687              ,Low
        20 ,Legal               ,          10.36 ,         3.35 ,        35.19 ,               2 ,              52 ,            25 , 25.8475             ,Low
        21 ,Operations          ,          12.27 ,         3.29 ,        35.98 ,               3 ,              51 ,            38 , 27.6225             ,Low
        22 ,Marketing           ,          14.88 ,         3.44 ,        35.84 ,               2 ,              54 ,            64 , 31.304000000000002  ,Low
        23 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        24 ,Operations          ,          12.51 ,         3.88 ,        37.12 ,               2 ,              41 ,            91 , 30.646              ,Low
        25 ,Sales               ,           0.53 ,         0.24 ,         3.1  ,               1 ,              12 ,           301 , 34.086              ,Low
        26 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        27 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        28 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        29 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        30 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        31 ,Product Development ,           2.31 ,         0.74 ,         7.58 ,               1 ,              17 ,            53 , 11.913              ,Low
        32 ,Customer Support    ,           0.8  ,         1.55 ,         5.13 ,               1 ,              13 ,            55 , 10.5235             ,Low
        33 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        34 ,Operations          ,          12.87 ,         3.46 ,        36.8  ,               2 ,              46 ,           258 , 48.498999999999995  ,Low
        35 ,Sales               ,           2.11 ,         1.81 ,         6.97 ,               1 ,               5 ,            17 ,  5.418500000000001  ,Low
        36 ,Human Resources     ,          14.53 ,         3.28 ,        32.04 ,               2 ,              44 ,           118 , 33.334              ,Low
        37 ,Sales               ,           1.73 ,         1.06 ,         3.39 ,               1 ,              14 ,           144 , 19.389              ,Low
        38 ,Marketing           ,           1.93 ,         1.62 ,         8.5  ,               1 ,              13 ,           209 , 26.841              ,Low
        39 ,Human Resources     ,           1.16 ,         0.41 ,         4.06 ,               1 ,              12 ,           204 , 24.7465             ,Low
        40 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        41 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        42 ,Sales               ,          12.52 ,         3.46 ,        36.48 ,               2 ,              57 ,           154 , 40.714999999999996  ,Low
        43 ,Engineering         ,          14.55 ,         3.51 ,        31.38 ,               2 ,              50 ,            85 , 31.4635             ,Low
        44 ,Product Development ,          14.93 ,         3.49 ,        32.92 ,               2 ,              60 ,           163 , 42.1425             ,Low
        45 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        46 ,Customer Support    ,          14.14 ,         3.18 ,        34.39 ,               3 ,              50 ,           316 , 55.201              ,Medium
        47 ,Legal               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        48 ,Finance             ,           0.05 ,         0.4  ,         2.08 ,               1 ,               7 ,           294 , 31.876              ,Low
        49 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        50 ,Marketing           ,          15.12 ,         4.98 ,        57.52 ,               4 ,              74 ,           186 , 53.673              ,Medium
        51 ,Sales               ,           0.14 ,         0.19 ,         6.13 ,               1 ,               1 ,            90 , 10.7515             ,Low
        52 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        53 ,Finance             ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        54 ,Human Resources     ,          11.89 ,         3.45 ,        37.5  ,               3 ,              59 ,           259 , 51.9905             ,Medium
        55 ,Sales               ,           0.15 ,         1.22 ,         3.05 ,               1 ,              10 ,           126 , 16.245              ,Low
        56 ,Customer Support    ,           1.9  ,         0.85 ,         1.8  ,               1 ,               3 ,            98 , 11.7025             ,Low
        57 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        58 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        59 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        60 ,Legal               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        61 ,Product Development ,          11.11 ,         3.97 ,        32.98 ,               2 ,              50 ,            35 , 26.210500000000003  ,Low
        62 ,Operations          ,          14.92 ,         3.55 ,        38.45 ,               3 ,              44 ,           190 , 42.161500000000004  ,Low
        63 ,Human Resources     ,           1.84 ,         0.87 ,         6.81 ,               1 ,               0 ,           192 , 21.347500000000004  ,Low
        64 ,Operations          ,           2.38 ,         1.71 ,         9.03 ,               1 ,               1 ,            75 , 10.659500000000001  ,Low
        65 ,Operations          ,           2.32 ,         0.85 ,         3.58 ,               1 ,              12 ,           256 , 30.192500000000003  ,Low
        66 ,Operations          ,          10.02 ,         3.89 ,        39.63 ,               3 ,              54 ,           200 , 45.0025             ,Low
        67 ,Customer Support    ,          10.35 ,         3.98 ,        37.17 ,               2 ,              58 ,           181 , 43.499              ,Low
        68 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        69 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        70 ,Finance             ,           0.82 ,         1.37 ,         2.57 ,               1 ,              18 ,           196 , 25.320500000000003  ,Low
        71 ,Legal               ,          10.72 ,         3.36 ,        37.26 ,               3 ,              60 ,            56 , 31.636000000000003  ,Low
        72 ,IT                  ,           1.52 ,         0.46 ,         9.64 ,               1 ,              10 ,           274 , 32.447              ,Low
        73 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        74 ,Sales               ,          14.96 ,         3.34 ,        31.58 ,               2 ,              48 ,           236 , 46.143              ,Low
        75 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        76 ,IT                  ,           0.39 ,         0.61 ,         6.63 ,               1 ,               2 ,           109 , 13.156500000000001  ,Low
        77 ,Customer Support    ,           2.5  ,         0.03 ,         7.91 ,               1 ,              19 ,           244 , 31.439500000000002  ,Low
        78 ,Product Development ,          11.6  ,         3.25 ,        33.58 ,               2 ,              43 ,            38 , 24.7985             ,Low
        79 ,Marketing           ,          12.32 ,         3.33 ,        38.6  ,               3 ,              51 ,           196 , 43.9665             ,Low
        80 ,Customer Support    ,           2.27 ,         1.24 ,         5.73 ,               1 ,              11 ,            38 ,  8.66               ,Low
        81 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        82 ,Finance             ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        83 ,Sales               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        84 ,Sales               ,           2.68 ,         1.38 ,         6.24 ,               1 ,              16 ,           262 , 32.529              ,Low
        85 ,Product Development ,           1.4  ,         0.73 ,         6.5  ,               1 ,               6 ,           144 , 17.8625             ,Low
        86 ,Human Resources     ,          14.17 ,         3.42 ,        35.11 ,               2 ,              50 ,            91 , 32.711              ,Low
        87 ,Legal               ,           2.99 ,         1.32 ,         9.67 ,               1 ,               1 ,            49 ,  8.212              ,Low
        88 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        89 ,Legal               ,           1.83 ,         0.65 ,         8.59 ,               1 ,               6 ,           206 , 24.5465             ,Low
        90 ,Operations          ,          14.47 ,         3.84 ,        31.36 ,               2 ,              51 ,           137 , 36.976000000000006  ,Low
        91 ,Customer Support    ,           0.77 ,         0.52 ,         5.34 ,               1 ,               7 ,            30 ,  6.302              ,Low
        92 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        93 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        94 ,Operations          ,          14.3  ,         3.67 ,        31.41 ,               3 ,              46 ,            76 , 29.759500000000003  ,Low
        95 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        96 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        97 ,Human Resources     ,           2.6  ,         1.01 ,         5.65 ,               1 ,              13 ,            55 , 10.8525             ,Low
        98 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
        99 ,Engineering         ,           2.6  ,         0.2  ,         4.74 ,               1 ,               7 ,           275 , 30.968              ,Low
       100 ,Legal               ,          12.8  ,         3.33 ,        39.56 ,               2 ,              49 ,           146 , 38.554500000000004  ,Low
       101 ,Marketing           ,          13.62 ,         3.87 ,        34.89 ,               3 ,              41 ,           206 , 42.1195             ,Low
       102 ,Sales               ,           2.45 ,         1.09 ,         6.13 ,               1 ,              18 ,           113 , 17.988500000000002  ,Low
       103 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       104 ,IT                  ,           0.58 ,         1.81 ,         5.71 ,               1 ,              14 ,           188 , 24.2105             ,Low
       105 ,Legal               ,          13.69 ,         3.34 ,        37.94 ,               3 ,              46 ,           256 , 48.861000000000004  ,Low
       106 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       107 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       108 ,Sales               ,           1.89 ,         1.58 ,         2.21 ,               1 ,               5 ,           315 , 34.165              ,Low
       109 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       110 ,Customer Support    ,           0.12 ,         0.51 ,         2.08 ,               1 ,               6 ,            36 ,  5.8675             ,Low
       111 ,IT                  ,           0.65 ,         1.46 ,         4.97 ,               1 ,               2 ,           279 , 30.089000000000002  ,Low
       112 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       113 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       114 ,IT                  ,           1.37 ,         0.23 ,         5.05 ,               1 ,               3 ,           108 , 13.0915             ,Low
       115 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       116 ,IT                  ,           1.1  ,         1.41 ,         2.55 ,               1 ,               7 ,            62 ,  9.2325             ,Low
       117 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       118 ,Legal               ,          11.34 ,         3.67 ,        38.15 ,               2 ,              59 ,            50 , 30.9655             ,Low
       119 ,Legal               ,           1.61 ,         1.3  ,         7.2  ,               1 ,               8 ,           123 , 16.587000000000003  ,Low
       120 ,Customer Support    ,          14.37 ,         3.51 ,        38.73 ,               2 ,              43 ,           121 , 34.7475             ,Low
       121 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       122 ,Human Resources     ,           2.4  ,         1.6  ,         3.54 ,               1 ,               2 ,           203 , 22.588              ,Low
       123 ,Engineering         ,           0.9  ,         1.5  ,         6.6  ,               1 ,               8 ,           180 , 22.075              ,Low
       124 ,Engineering         ,           2.26 ,         1.25 ,         7.17 ,               1 ,              18 ,           274 , 34.298500000000004  ,Low
       125 ,Legal               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       126 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       127 ,Sales               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       128 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       129 ,Customer Support    ,           0.68 ,         0.66 ,         9.08 ,               1 ,              12 ,           273 , 32.617000000000004  ,Low
       130 ,Legal               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       131 ,Operations          ,           0.13 ,         1.62 ,         4.26 ,               1 ,              11 ,           231 , 27.333000000000002  ,Low
       132 ,Sales               ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       133 ,Sales               ,           2.91 ,         1.79 ,         2.6  ,               1 ,              16 ,           290 , 34.7495             ,Low
       134 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       135 ,Human Resources     ,           2.67 ,         1.12 ,         1.79 ,               1 ,               5 ,            62 ,  8.822              ,Low
       136 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       137 ,Product Development ,           1.36 ,         1.07 ,         6.47 ,               1 ,              18 ,            32 ,  9.7335             ,Low
       138 ,Legal               ,          12.8  ,         3.39 ,        31.83 ,               2 ,              49 ,           166 , 39.0235             ,Low
       139 ,Finance             ,           1.47 ,         1.76 ,         4.63 ,               1 ,              12 ,            67 , 11.56               ,Low
       140 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       141 ,Sales               ,           0.82 ,         0.08 ,         7.42 ,               1 ,               4 ,           264 , 29.268              ,Low
       142 ,IT                  ,           1.98 ,         1.84 ,         3.45 ,               1 ,               5 ,            52 ,  8.196000000000002  ,Low
       143 ,Sales               ,           2.88 ,         0.6  ,         9.62 ,               1 ,               5 ,            98 , 13.9                ,Low
       144 ,Legal               ,           0.88 ,         1.96 ,         7.43 ,               1 ,              16 ,            40 , 10.352              ,Low
       145 ,Product Development ,           1.0  ,         0.83 ,         9.26 ,               1 ,               4 ,            52 ,  8.659500000000001  ,Low
       146 ,Operations          ,           1.1  ,         1.02 ,         1.42 ,               1 ,               2 ,           129 , 14.359              ,Low
       147 ,Finance             ,          13.95 ,         3.16 ,        30.55 ,               2 ,              48 ,           297 , 51.790000000000006  ,Medium
       148 ,Legal               ,           2.07 ,         0.45 ,         9.72 ,               1 ,               4 ,           211 , 24.770500000000002  ,Low
       149 ,Engineering         ,          14.01 ,         3.41 ,        35.56 ,               2 ,              54 ,            33 , 27.9665             ,Low
       150 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       151 ,Customer Support    ,          12.61 ,         3.77 ,        35.31 ,               2 ,              57 ,           101 , 35.276500000000006  ,Low
       152 ,Product Development ,           0.72 ,         1.79 ,         3.09 ,               1 ,              18 ,           204 , 26.3095             ,Low
       153 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       154 ,Finance             ,           1.16 ,         1.4  ,         7.82 ,               1 ,              18 ,           161 , 22.946              ,Low
       155 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       156 ,Engineering         ,           0.54 ,         1.97 ,         4.1  ,               1 ,               2 ,           318 , 33.920500000000004  ,Low
       157 ,Marketing           ,          14.82 ,         3.49 ,        31.31 ,               2 ,              43 ,           164 , 37.6485             ,Low
       158 ,Legal               ,          11.26 ,         3.19 ,        34.46 ,               2 ,              46 ,            46 , 26.441500000000005  ,Low
       159 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       160 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       161 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       162 ,Legal               ,           1.87 ,         0.87 ,         3.09 ,               1 ,               6 ,           129 , 15.8095             ,Low
       163 ,Product Development ,           1.28 ,         1.3  ,         9.1  ,               1 ,              10 ,            75 , 12.600999999999999  ,Low
       164 ,Human Resources     ,          13.09 ,         3.51 ,        33.47 ,               2 ,              54 ,           297 , 53.789500000000004  ,Medium
       165 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       166 ,Finance             ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       167 ,Customer Support    ,           2.21 ,         1.09 ,         3.65 ,               1 ,               6 ,           179 , 21.044500000000003  ,Low
       168 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       169 ,Human Resources     ,          13.58 ,         3.83 ,        30.21 ,               2 ,              53 ,           107 , 34.0655             ,Low
       170 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       171 ,IT                  ,           1.57 ,         0.22 ,         4.92 ,               1 ,              13 ,            18 ,  6.603              ,Low
       172 ,Product Development ,           1.18 ,         0.88 ,         9.77 ,               1 ,               3 ,           296 , 32.96               ,Low
       173 ,Operations          ,           0.93 ,         0.61 ,         2.88 ,               1 ,              14 ,           152 , 19.814500000000002  ,Low
       174 ,Operations          ,           2.1  ,         1.02 ,         2.69 ,               1 ,              12 ,            46 ,  9.013000000000002  ,Low
       175 ,Customer Support    ,           2.29 ,         1.54 ,         1.62 ,               1 ,              17 ,           112 , 16.817              ,Low
       176 ,Sales               ,          10.41 ,         3.24 ,        37.52 ,               2 ,              45 ,           293 , 51.346000000000004  ,Medium
       177 ,Legal               ,           1.43 ,         0.37 ,         6.11 ,               1 ,              15 ,           111 , 16.6505             ,Low
       178 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       179 ,Customer Support    ,           2.5  ,         0.37 ,         5.53 ,               1 ,               4 ,            17 ,  4.5985000000000005 ,Low
       180 ,Engineering         ,          12.86 ,         3.99 ,        38.92 ,               3 ,              51 ,            92 , 33.9035             ,Low
       181 ,IT                  ,           0.09 ,         1.2  ,         2.62 ,               1 ,               2 ,           231 , 24.642000000000003  ,Low
       182 ,Legal               ,           2.27 ,         0.92 ,         2.77 ,               1 ,               9 ,           307 , 34.388000000000005  ,Low
       183 ,IT                  ,           0.08 ,         0.07 ,         9.02 ,               1 ,              14 ,            26 ,  8.1375             ,Low
       184 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       185 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       186 ,Marketing           ,          10.73 ,         3.89 ,        36.77 ,               3 ,              60 ,            80 , 34.072500000000005  ,Low
       187 ,Customer Support    ,          13.78 ,         3.29 ,        39.54 ,               2 ,              55 ,           204 , 46.036500000000004  ,Low
       188 ,Product Development ,          13.99 ,         3.45 ,        36.97 ,               2 ,              52 ,           170 , 41.4545             ,Low
       189 ,Legal               ,           1.41 ,         1.79 ,         5.45 ,               1 ,              19 ,           270 , 33.7695             ,Low
       190 ,Sales               ,          10.57 ,         3.6  ,        34.14 ,               2 ,              56 ,           292 , 53.44200000000001   ,Medium
       191 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       192 ,Human Resources     ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       193 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       194 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       195 ,Engineering         ,           2.49 ,         1.54 ,         6.33 ,               1 ,               9 ,           161 , 20.699              ,Low
       196 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       197 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       198 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       199 ,Sales               ,           0.15 ,         1.79 ,         2.74 ,               1 ,              16 ,           116 , 16.8255             ,Low
       200 ,Customer Support    ,           1.86 ,         1.1  ,         8.28 ,               1 ,              18 ,           184 , 25.403000000000002  ,Low
       201 ,IT                  ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       202 ,Product Development ,           0.17 ,         0.58 ,         3.9  ,               1 ,               8 ,            40 ,  7.159              ,Low
       203 ,Customer Support    ,          11.61 ,         3.15 ,        36.18 ,               3 ,              51 ,           249 , 48.5955             ,Low
       204 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       205 ,Engineering         ,           1.31 ,         1.01 ,         8.53 ,               1 ,              16 ,           322 , 38.62050000000001   ,Low
       206 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       207 ,Engineering         ,           0.06 ,         0.2  ,         9.64 ,               1 ,              19 ,           311 , 38.04               ,Low
       208 ,Operations          ,          10.97 ,         3.99 ,        35.12 ,               2 ,              46 ,            95 , 31.6155             ,Low
       209 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       210 ,Product Development ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       211 ,Operations          ,           0.02 ,         0.5  ,         7.15 ,               1 ,              13 ,           139 , 18.909              ,Low
       212 ,IT                  ,           2.74 ,         0.14 ,         9.12 ,               1 ,              14 ,           111 , 17.207              ,Low
       213 ,Product Development ,           0.66 ,         0.72 ,         4.23 ,               1 ,              12 ,           176 , 21.958000000000002  ,Low
       214 ,Human Resources     ,           2.78 ,         1.88 ,         2.86 ,               1 ,              11 ,           119 , 16.448              ,Low
       215 ,Legal               ,           2.35 ,         0.81 ,         8.19 ,               1 ,              15 ,           318 , 38.060500000000005  ,Low
       216 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       217 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       218 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       219 ,Operations          ,           0.6  ,         1.24 ,         2.13 ,               1 ,               2 ,            72 ,  8.756              ,Low
       220 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       221 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       222 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       223 ,Finance             ,          14.35 ,         3.7  ,        37.59 ,               2 ,              42 ,           217 , 43.913000000000004  ,Low
       224 ,Product Development ,           1.63 ,         0.39 ,         9.58 ,               1 ,               4 ,           219 , 25.439500000000002  ,Low
       225 ,Operations          ,           1.99 ,         0.44 ,         5.8  ,               1 ,               4 ,           265 , 29.368              ,Low
       226 ,Operations          ,          15.78 ,         4.43 ,        42.8  ,               4 ,              92 ,           274 , 64.0235             ,Medium
       227 ,Sales               ,           1.32 ,         1.71 ,         8.65 ,               1 ,              13 ,           183 , 24.1715             ,Low
       228 ,Customer Support    ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       229 ,Engineering         ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       230 ,Engineering         ,           0.04 ,         0.89 ,         3.79 ,               1 ,               8 ,           184 , 21.588500000000003  ,Low
       231 ,Product Development ,           0.42 ,         0.86 ,         5.86 ,               1 ,               5 ,           221 , 25.021              ,Low
       232 ,Customer Support    ,           1.81 ,         1.32 ,         9.43 ,               1 ,              12 ,           114 , 17.178              ,Low
       233 ,Operations          ,           0.91 ,         0.66 ,         5.08 ,               1 ,              10 ,            86 , 12.663              ,Low
       234 ,Marketing           ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
       235 ,Customer Support    ,           1.99 ,         0.4  ,         4.17 ,               1 ,              15 ,           254 , 30.682000000000002  ,Low
       236 ,Customer Support    ,          12.21 ,         3.68 ,        31.63 ,               2 ,              50 ,           310 , 53.588              ,Medium
       237 ,Operations          ,           0.0  ,         0.0  ,         0.0  ,               0 ,               0 ,             0 ,  0.0                ,Low
